user_id,orig_row,M2ID,M2FAMNUM,answered
143,2580,13305.0,101360.0,21
144,6964,19013.0,110117.0,17
145,5769,17459.0,120187.0,172
146,1643,12115.0,120581.0,20
147,6778,18777.0,120702.0,181
148,354,10454.0,100191.0,125
149,4689,16073.0,102455.0,150
150,4779,16184.0,102509.0,121
151,3751,14854.0,120721.0,166
152,1258,11630.0,100671.0,127
153,5322,16880.0,102772.0,159
154,5668,17323.0,102955.0,166
155,6856,18879.0,120921.0,190
156,379,10482.0,100198.0,128
157,3222,14140.0,120414.0,175
158,7017,19081.0,103674.0,192
159,618,10776.0,100332.0,155
160,5349,16914.0,102788.0,125
161,3644,14706.0,110278.0,200
162,4381,15670.0,110464.0,17
163,1909,12456.0,120012.0,187
164,2495,13200.0,110371.0,164
165,6510,18425.0,110485.0,173
166,1653,12125.0,110363.0,177
167,2042,12610.0,101087.0,175
168,2766,13538.0,120462.0,117
169,4964,16423.0,102600.0,156
170,367,10468.0,100196.0,134
171,3995,15174.0,102085.0,25
172,4405,15704.0,102310.0,165
173,3697,14776.0,110398.0,18
174,5013,16486.0,110371.0,169
175,1539,11992.0,100826.0,180
176,2362,13021.0,101251.0,173
177,1891,12433.0,110360.0,116
178,3810,14929.0,101994.0,151
179,4437,15741.0,102322.0,115
180,5750,17437.0,102995.0,147
181,1002,11291.0,100532.0,20
182,3258,14187.0,101720.0,18
183,1260,11633.0,110275.0,167
184,2904,13715.0,101541.0,134
185,3668,14738.0,101913.0,172
186,4068,15270.0,120830.0,172
187,3962,15127.0,102068.0,177
188,2381,13051.0,110171.0,179
189,500,10625.0,100266.0,174
190,6536,18464.0,103403.0,183
191,152,10198.0,120156.0,118
192,3508,14519.0,101842.0,104
193,3119,14002.0,101653.0,195
194,5949,17696.0,120075.0,139
195,3324,14265.0,120057.0,132
196,4361,15645.0,120048.0,163
197,1660,12134.0,100887.0,167
198,5214,16732.0,120516.0,183
199,6784,18784.0,103552.0,21
200,3351,14301.0,120786.0,119
201,5231,16752.0,110397.0,144
202,5820,17527.0,103035.0,126
203,591,10745.0,100318.0,193
204,3740,14839.0,110291.0,188
205,5193,16708.0,110061.0,109
206,3030,13887.0,101603.0,133
207,5616,17257.0,102926.0,22
208,6680,18652.0,103494.0,174
209,6346,18221.0,103306.0,128
210,3972,15141.0,120263.0,133
211,6682,18655.0,103496.0,177
212,2596,13325.0,101373.0,153
213,5464,17057.0,120868.0,177
214,2979,13808.0,101582.0,195
215,37,10049.0,120883.0,20
216,5271,16809.0,120466.0,181
217,4753,16153.0,120592.0,157
218,6783,18783.0,120662.0,171
219,4267,15527.0,102234.0,98
220,4471,15783.0,120362.0,182
221,1808,12325.0,110352.0,133
222,6343,18214.0,103304.0,182
223,6706,18691.0,103510.0,179
224,4704,16095.0,120291.0,158
225,611,10768.0,100329.0,187
226,3489,14496.0,101833.0,111
227,3007,13850.0,120755.0,182
228,1446,11875.0,100775.0,137
229,6790,18794.0,110504.0,118
230,1800,12314.0,100961.0,185
231,1860,12394.0,120044.0,198
232,854,11099.0,100459.0,123
233,4327,15602.0,102267.0,28
234,5848,17559.0,120609.0,170
235,5621,17263.0,120573.0,19
236,4928,16375.0,120346.0,129
237,1456,11888.0,110104.0,175
238,1050,11352.0,120295.0,132
239,3894,15036.0,102037.0,157
240,2935,13756.0,101558.0,167
241,4944,16399.0,120909.0,178
242,5251,16781.0,110110.0,140
